CID100000085;carnitina
CID100166548;Anidulafungina
CID100168625;poli(estireno
CID100168924;lantânio
CID100170361;vareniclina
CID100171558;Kaluril
CID100176870;erlotinibe
CID100179344;eslicarbazepina
CID100185457;S-benzoilmercaptoacetiltriglicina
CID100192155;Prednefrin
CID100193962;etravirina
CID100197281;gadobenato
CID100197712;ambrisentana
CID100206527;L-Dmp
CID100208898;dronedarona
CID100208902;ramelteon
CID100208908;lapatinibe
CID100208920;NuvaRing
CID100213023;dabigatrana
CID100213039;darunavir
CID100213046;lurasidona
CID100214339;luliconazol
CID100216209;alisquireno
CID100216210;dabigatrana
CID100216235;sitaxsentana
CID100216237;tolvaptana
CID100216239;sorafenibe
CID100216258;Colimicina
CID100216326;lenalidomida
CID100216416;lasofoxifeno
CID100219024;regadenosona
CID100219078;lacosamida
CID100219084;Gd-EOB-DTPA
CID100219090;fosaprepitanto
CID100222786;cortisona
CID100315411;18F-FDG
CID100358641;trimetoprima-sulfametoxazol
CID100441332;carboprost
CID100441382;natamicina
CID100443379;CAS
CID100444006;cefditoren
CID100444013;gadoversetamida
CID100444033;ciclesonida
CID100449193;roflumilaste
CID100455658;hemina
CID100477468;FK463
CID100483407;maraviroque
CID100489129;efinaconazol
CID100517045;sódio
CID100644241;nilotinibe
CID100656628;silodosina
CID100656892;TMC207
CID100657298;propiltiouracila
CID100667490;6-mercaptopurina
CID101349907;metimazol
CID102723601;6-tioguanina
CID102761171;etionamida
CID103006171;rilpivirina
CID103010818;d-telaprevir
CID103038497;fospropofol
CID103052762;prucaloprida
CID103055172;pimecrolimo
CID103062316;dasatinibe
CID103080904;Estrofem
CID103081276;fluticasona/salmeterol
CID103081361;vandetanibe
CID103081362;telavancina
CID103081884;copolímero
CID103085017;sevelâmero
CID103086257;Photofrin
CID103086685;axitinibe
CID103086686;sunitinibe
CID103325225;ALX
CID104369359;sitagliptina
CID104474778;2-hidroxissuccinalaldeído
CID104479094;doxercalciferol
CID104479097;hidroxocobalamina
CID104517618;sódio
CID104630253;alclometasona
CID104659568;entacapona
CID104659569;tolcapona
CID105001396;varfarina
CID105251896;vildagliptina
CID105273759;abacavir-lamivudina
CID105277135;elvitegravir
CID105281007;dacarbazina
CID105310993;acipimox
CID105311167;halobetasol
CID105327147;polioxietileno
CID105328940;bosutinibe
CID105353894;pralidoxima
CID105353980;sulfassalazina
CID105359596;arsênico
CID105360237;Paroven
CID105361912;rifabutina
CID105361917;metilnaltrexona
CID105362070;balsalazida
CID105362420;verteporfina
CID105381226;rifampicina
CID105462337;olsalazina
CID105464096;ramiprilato
CID105479141;CGP
CID105487068;Mersyndol
CID105487301;tegaserode
CID105488383;ofatumumabe
CID105488547;alvimopana
CID105493381;deferasirox
CID106102852;gadobutrol
CID106323497;rifapentina
CID106326970;selênio
CID106328144;rádio
CID106328526;AC1O3HA7
CID106331630;eribulina
CID106333887;auranofina
CID106398970;cefdinir
CID106433082;hexaminolevulinato
CID106433091;tapentadol
CID106433101;tafluprost
CID106433117;indacaterol
CID106433119;rivaroxabana
CID106435110;ivermectina
CID106437075;Timentin
CID106440191;fidaxomicina
CID106442177;everolimo
CID106445540;ixabepilona
CID106452749;Locorten
CID106453361;Sativex
CID106477186;delamanida
CID106850789;ferro
CID106850791;leuprorrelina
CID106918182;estrôncio
CID106918313;vilazodona
CID106918366;fosaprepitanto
CID106918430;ceftobiprole
CID106918456;prasugrel
CID106918462;retapamulina
CID106918558;fesoterodina
CID106918584;sugamadex
CID106918638;belinostate
CID106918670;PEP005
CID109794842;tasimelteon
CID109800339;olodaterol
CID109810131;ceftarolina
CID109811221;cabazitaxel
CID109812414;dalteparina
CID109815559;trans
CID109818231;tofacitinibe
CID109825285;azilsartana
CID109831414;Lovaza
CID109831761;irbesartana-hidroclorotiazida
CID109831783;Stalevo
CID109846180;eltrombopague
CID109853053;lomitapida
CID109854489;fluticasona
CID109865528;mirabegrona
CID109869929;avanafila
CID109871419;ticagrelor
CID109887712;dapagliflozina
CID109898619;Depreotida
CID109912092;apremilaste
CID109924495;perampanel
CID109930048;vernakalanto
CID109940864;Benicar-HCT
CID109941444;SOM230
CID109966051;Lu
CID110028615;vorapaxar
CID110096344;linagliptina
CID110107393;18F-flutemetamol
CID110113978;pazopanibe
CID110163178;afatinibe
CID110178705;besifloxacino
CID110182969;apixabana
CID110324367;boceprevir
CID110465263;lorcaserina
CID110482134;glicerol
CID111001318;tafamidis
CID111020241;ascorbato
CID111163584;alogliptina
CID111167602;regorafenibe
CID111228026;aclídinio
CID111234049;TR-700
CID111235728;Saxagliptina
CID111238823;azilsartana
CID111254352;sódio
CID111304743;riociguate
CID111499245;AN2690
CID111501341;florbetabeno
CID111505907;Zyprexa
CID111519069;umeclidínio
CID111531537;eliglustate
CID111556711;Carfilzomibe
CID111593706;sevelâmero
CID111597571;crizotinibe
CID111597697;lisdexanfetamina
CID111672461;gadofosveset
CID111707110;trametinibe
CID111722286;espinosade
CID111947681;nitroprussiato
CID111949646;empagliflozina
CID111979316;vasopressina
CID113559279;ulipristal
CID115951529;MDV3100
CID116004692;macitentan
CID116065945;TMC435
CID116126651;PCI-32765
CID116129616;salmão
CID116129617;cosintropina
CID116129629;LY146032
CID116129632;Nuvocid
CID116129665;Vitrum
CID116129672;Insulina
CID116129682;Forteo
CID116129690;ziconotida
CID116129701;T-A2-3
CID116129703;Revasc
CID116129704;Bivalirudina
CID116130199;Enfuvirtida
CID116130295;BPTI
CID116130957;Org
CID116131215;Abarelix
CID116131310;hepatite
CID116132265;ACTH(1-39
CID116132283;glucagon
CID116132344;oCRH
CID116132418;NovoLog
CID116132438;Humalog
CID116132441;Refludan
CID116132446;Symlin
CID116134956;liraglutida
CID116136245;degarelix
CID116137271;insulina
CID116139342;Lyxumia
CID116139605;teduglutida
CID116156130;exenatida
CID116158207;linaclotida
CID116158473;o291
CID116213095;pentamido
CID116220172;ivacaftor
CID117754772;ruxolitinibe
CID119371515;alcaftadina
CID122834577;nesiritida
CID123668479;raltegravir
CID123689036;pertecnetato
CID123690938;piroxicam
CID124762228;Azarga
CID124776445;vismodegibe
CID124812758;canagliflozina
CID124822371;florbetapir
CID124826799;ponatinibe
CID124838347;glucagon
CID124846132;hetamido
CID124950485;cobicistato
CID124965990;suvorexanto
CID125074470;Triptorrelina
CID125074886;cetrorelix
CID125077405;Nafarelina
CID125077993;Histrelina
CID125094462;sofosbuvir
CID125102847;cabozantinibe
CID125880656;doxiciclina
CID125880664;tetraciclina
CID126275995;minociclina
CID140468184;acenocumarol
CID142611257;vemurafenibe
CID144134877;oxitetraciclina
CID144146714;Lantus
CID144201342;tesamorelina
CID144201343;ecalantida
CID144462760;dabrafenibe
CID144564107;mipomersena
CID144564722;Promacta
CID144567678;dalbavancina
CID146181941;Signifor
CID146216142;dolutegravir
CID151508717;tenoxicam
CID151601240;demeclociclina
CID153477714;heparina
CID153627505;hidroxipropil
CID154677977;A77
CID154681041;tigeciclina
CID154682541;doxiciclina
CID154687131;limeciclina
CID156603655;pegaptanibe
CID156842239;n-3
CID170683024;x
CID170695640;colestiramina
CID171306834;K779
