Original,Traduzido
Causalgia,Causalgia
Caustic injury,Lesão cáustica
Cellulitis,Celulite
Cellulitis gangrenous,Celulite Gangrenous
Cellulitis staphylococcal,Celulite estafilocócica
Central line infection,Infecção por linha central
Central nervous system disorder,Transtorno do sistema nervoso central
Central nervous system haemorrhage,Hemorragia do sistema nervoso central
Central nervous system infection,Infecção do sistema nervoso central
Central nervous system neoplasm,Neoplasia do sistema nervoso central
Central nervous system stimulation,Estimulação do sistema nervoso central
Central obesity,Obesidade central
Central retinal vein occlusion,Oclusão da veia da retina central
Central scotoma,Scotoma central
Central serous retinopathy,Retinopatia serosa central
Cerebellar ataxia,Ataxia cerebelar
Cerebellar atrophy,Atrofia cerebelar
Cerebellar infarction,Infarto cerebelar
Cerebellar oedema,Edema Cerebelar
Cerebellar syndrome,Síndrome do Cerebelar
Cerebral arterial aneurysm,Aneurisma arterial cerebral
Cerebral arteriosclerosis,Arteriosclerose cerebral
Cerebral arteritis,Arterite cerebral
Cerebral artery embolism,Embolia da artéria cerebral
Cerebral artery stenosis,Estenose da artéria cerebral
Cerebral atrophy,Atrofia cerebral
Cerebral dysfunction,Disfunção cerebral
Cerebral haematoma,Hematoma cerebral
Cerebral haemorrhage,Hemorragia cerebral
Cerebral hypoperfusion,Hipoperfusão cerebral
Cerebral infarction,Infarto cerebral
Cerebral ischaemia,Isquemia cerebral
Cerebral thrombosis,Trombose cerebral
Cerebral vasoconstriction,Vasoconstrição cerebral
Cerebral venous thrombosis,Trombose venosa cerebral
Cerebration impaired,Cerebração prejudicada
Cerebritis,Cerebite
Cerebrospinal fluid leakage,Vazamento de líquido cefalorraquidiano
Cerebrospinal fluid rhinorrhea,Rinorréia do líquido cefalorraquidiano
Cerebrovascular accident,Acidente cerebrovascular
Cerebrovascular disorder,Transtorno cerebrovascular
Cerebrovascular infarction,Infarto cerebrovascular
Cerebrovascular insufficiency,Insuficiência cerebrovascular
Cerumen impaction,Impactação de cerume
Ceruminosis,Ceruminose
Cervical adenitis,Adenite cervical
Cervical discharge,Descarga cervical
Cervical dysplasia,Displasia cervical
Cervical incompetence,Incompetência cervical
Cervical polyp,Pólipo cervical
Cervical smear test positive,Teste de mancha cervical positivo
Cervical vertebral fracture,Fratura vertebral cervical
Cervicitis,Cervicite
Cervicobrachial syndrome,Síndrome do cervicobrachial
Cervix carcinoma,Carcinoma do colo do útero
Cervix carcinoma stage 0,Cervix Carcinoma estágio 0
Cervix disorder,Transtorno do colo do útero
Cervix haemorrhage uterine,Uterina hemorragia do colo do útero
Cervix neoplasm,Neoplasia do colo do útero
Chalazion,Calázio
Chalky taste,Sabor calcário
Change in blood pressure,Mudança na pressão arterial
Change of bowel habit,Mudança de hábito intestinal
Chapped lips,Lábios rachados
Chapped skin,Pele rachada
Cheilitis,Cheilite
Cheilosis,Cheilose
Chemical burn,Queimadura química
Chemical conjunctivitis,Conjuntivite química
Chemical cystitis,Cistite química
Chemical eye injury,Lesão ocular química
Chemical injury,Lesão química
Chemical peritonitis,Peritonite química
Chemical phlebitis,Flebite química
Chemosis,Questose
Chest X-ray abnormal,Raios-X de Tóximo Anormal
Chest X-ray normal,Raios X de tórax Normal
Chest discomfort,Desconforto no peito
Chest heaviness,Peso no peito
Chest mass NOS,Massa torácica Nos
Chest pain,Dor no peito
Chest pain exertional,Esforço de dor no peito
Chest pressure,Pressão torácica
Chest pressure sensation of,Sensação de pressão torácica de
Chest tightness,Aperto no peito
Chest wall pain,Dor na parede torácica
Cheyne-Stokes respiration,Respiração Cheyne-Stokes
Chills,Calafrios
Chlamydial infection,Infecção por clamídia
Chloasma,Chloasma
Chloropsia,Cloropsia
Choking,Sufocando
Choking sensation,Sensação de sufoco
Cholangiocarcinoma,Colangiocarcinoma
Cholangitis,Colangite
Cholangitis sclerosing,Colangite esclerosante
Cholecystitis,Colecistite
Cholecystitis acute,Colecistite aguda
Cholecystitis and cholelithiasis,Colecistite e colelitíase
Cholecystitis chronic,Colecistite crônica
Cholecystitis infective,Colecistite infecciosa
Cholelithiasis,Colelitíase
Cholestasis,Colestase
Cholestasis extrahepatic,Colestase extra -hepática
Cholestasis intrahepatic,Colestase intra -hepática
Cholestatic liver disease,Doença hepática colestática
Cholestatic liver injury,Lesão hepática colestática
Cholesterol serum elevated,Soro de colesterol elevado
Cholinergic crisis,Crise colinérgica
Cholinergic syndrome,Síndrome colinérgica
Choluria,CHOLURIA
Chondrocalcinosis,Condrocalcinose
Chondrodystrophy,Condrodistrofia
Chondrolysis,Condrólise
Chondropathy,Condropatia
Chorea,Coréia
Choreiform,Coreiforme
Choreoathetoid movements,Movimentos coreoathotoides
Choreoathetosis,Coreoatetose
Choriocarcinoma,CORIOCARCINOMA
Chorioretinitis,Coriorretinite
Chorioretinopathy,Coriorretinopatia
Choroidal detachment,Destacamento coroidal
Choroidal effusion,Efusão coroidal
Choroidal nevus,Nevus coroidal
Choroiditis,Coroidite
Chromatopsia,Cromatopsia
Chromaturia,Cromatúria
Chromosomal mutation,Mutação cromossômica
Chronic allograft nephropathy,Nefropatia crônica do aloenxerto
Chronic anxiety,Ansiedade crônica
Chronic conjunctivitis,Conjuntivite crônica
Chronic diarrhea,Diarréia crônica
Chronic eosinophilic leukaemia,Leucemia eosinofílica crônica
Chronic fatigue syndrome,Síndrome da fadiga crônica
Chronic graft versus host disease,Enxerto crônico versus doença hospedeira
Chronic hepatic failure,Falha hepática crônica
Chronic hepatitis,Hepatite crônica
Chronic hepatitis B,Hepatite crônica B.
Chronic idiopathic constipation,Constipação idiopática crônica
Chronic insomnia,Insônia crônica
Chronic interstitial nephritis,Nefrite intersticial crônica
Chronic kidney disease,Doença renal crônica
Chronic leukaemia,Leucemia crônica
Chronic liver disease,Doença hepática crônica
Chronic lymphocytic leukaemia,Leucemia linfocítica crônica
Chronic myeloid leukaemia,Leucemia mielóide crônica
Chronic myelomonocytic leukaemia,Leucemia mielomonocítica crônica
Chronic obstructive pulmonary disease,Doença pulmonar obstrutiva crônica
Chronic pain,Dor crônica
Chronic peptic ulcer,Úlcera péptica crônica
Chronic phase chronic myeloid leukemia,Leucemia mielóide crônica crônica
Chronic renal insufficiency,Insuficiência renal crônica
Chronic sinusitis,Sinusite crônica
Chrysiasis,Crisíase
Chylothorax,Quylotórax
Ciliary muscle spasm,Espasmo muscular ciliar
Cinchonism,Cinchonismo
Circadian rhythm sleep disorder,Transtorno do sono ritmo circadiano
Circulatory depression,Depressão circulatória
Circumoral oedema,Edema circunoral
Circumoral paresthesia,Parestesia circunoral
Circumscribed scleroderma,Scleroderma circunscrito
Cirrhosis alcoholic,Cirrose Alcoólico
Citrate toxicity,Toxicidade de citrato
Claudication,Claudicação
Claustrophobia,Claustrofobia
Clavicle fracture,Fratura da clavícula
Cleft lip,Flobo Lip
Cleft palate,Fenda palatina
Clinical flare reaction,Reação clínica de flare
Clitoral engorgement,Ingestão do clitóris
Cloacal exstrophy,Extrofia cloacal
Clonic convulsion,Convulsão clônica
Clonic movements,Movimentos clônicos
Clonus,Clonus
Clostridial infection,Infecção fechada
Clostridium colitis,Colite de Clostridium
Clostridium difficile colitis,Colite de Clostridium difficile
Clotting,Coagulação
Cloudy urine,Urina nublada
Clubbing,Batbing
Clumsiness,Falta de jeito
Cluster headache,Dor de cabeça de cluster
Coagulation factor decreased,O fator de coagulação diminuiu
Coagulation necrosis,Necrose de coagulação
Coagulation test abnormal,Teste de coagulação anormal
Coagulation time prolonged,O tempo de coagulação prolongou
Coagulopathy,Coagulopatia
Coarctation of the aorta,Coarctação da aorta
Coccydynia,Coccydynia
Cochlear toxicity,Toxicidade coclear
Cognitive deterioration,Deterioração cognitiva
Cognitive disorder,Transtorno cognitivo
Cognitive impairment,Comprometimento cognitivo
Cogwheel rigidity,Rigidez da roda dentada
Coital bleeding,Sangramento coital
Cold feet,Pés frios
Cold hands,Mãos frias
Cold hands & feet,Mãos frias e pés
Cold intolerance,Intolerância a frio
Cold sweat,Suor frio
Cold symptoms,Sintomas de frio
Coldness,Frieza
Colitis,Colite
Colitis ischaemic,Colite isquêmica
Colitis microscopic,Colite microscópica
Colitis ulcerative,Colite ulcerosa
Collagen disorder,Transtorno do colágeno
Collagen-vascular disease,Doença de colágeno-vascular
Collapse,Colapso
Colon atonic,Cólon atônico
Colon cancer,Câncer de cólon
Colon obstruction,Obstrução do cólon
Colonic abscess,Abscesso colônico
Colonic polyp,Pólipo colônico
Colonic pseudo-obstruction,Pseudo-obstrrição do cólon
Color vision change,Mudança de visão de cores
Colorectal cancer,Câncer colorretal
Colorectal cancer metastatic,Câncer colorretal metastático
Colour blindness,Derronefismo
Colour blindness acquired,O daltonismo adquirido
Colpocele,Colpocele
Coma,Coma
Coma hepatic,Coma Hepatic
Comedone,Comedona
Common cold,Gripe comum
Common wart,Verruga comum
Community acquired infection,Infecção adquirida da comunidade
Community acquired pneumonia,Pneumonia adquirida na comunidade
Compartment syndrome,Síndrome do compartimento
Complete hearing loss,Perda auditiva completa
Completed suicide,Suicídio completo
Complex partial seizures,Convulsões parciais complexas
Complex regional pain syndrome,Síndrome complexa de dor regional
Complication of delivery,Complicação da entrega
Complication of device insertion,Complicação da inserção do dispositivo
Complication of pregnancy,Complicação da gravidez
Complications of transplant surgery,Complicações da cirurgia de transplante
Compression fracture,Fratura de compressão
Compulsions,Compulsões
Compulsive personality disorder,Transtorno da personalidade compulsiva
Compulsive sexual behaviour,Comportamento sexual compulsivo
Compulsive shopping,Compras compulsivas
Concussion,Concussão
Condition aggravated,Condição agravada
Conduction disorder,Transtorno da condução
Confusion aggravated,Confusão agravada
Confusion postoperative,Confusão pós -operatória
Confusional state,Estado de confusão
Congenital absence of bile ducts,Ausência congênita de ductos biliares
Congenital anomaly,Anomalia congênita
Congenital arterial malformation,Malformação arterial congênita
Congenital central nervous system anomaly,Anomalia do sistema nervoso central congênito
Congenital clubfoot,Pé de clubes congênitos
Congenital cystic kidney disease,Doença renal cística congênita
Congenital diaphragmatic hernia,Hérnia diafragmática congênita
Congenital eye disorder,Transtorno ocular congênito
Congenital foot malformation,Malformação congênita do pé
Congenital generalised lipodystrophy,Lipodistrofia generalizada congênita
Congenital genital malformation,Malformação genital congênita
Congenital genitourinary abnormality,Anormalidade geniturinária congênita
Congenital hydronephrosis,Hidronefrose congênita
Congenital hypertrophic pyloric stenosis,Estenose pilórica hipertrófica congênita
Congenital hypothyroidism,Hipotireoidismo congênito
Congenital joint malformation,Malformação da articulação congênita
Congenital limb hyperextension,Hiperextensão congênita do membro
Congenital megacolon,Megacolon congênito
Congenital musculoskeletal anomaly,Anomalia musculoesquelética congênita
Congenital oral malformation,Malformação oral congênita
Congenital renal cyst,Cisto renal congênito
Congenital skin disorder,Transtorno da pele congênita
Congenital vesicoureteric reflux,Refluxo vesicouretérico congênito
Congestive cardiomyopathy,Cardiomiopatia congestiva
Conjoined twins,Gêmeos conjuntos
Conjunctival bleb,Bleb conjuntival
Conjunctival congestion,Congestão conjuntival
Conjunctival cyst,Cisto conjuntival
Conjunctival discharge,Descarga conjuntival
Conjunctival disorder,Transtorno conjuntival
Conjunctival follicles,Folículos conjuntivais
Conjunctival haemorrhage,Hemorragia conjuntival
Conjunctival hyperaemia,Hiperemia conjuntival
Conjunctival irritation,Irritação conjuntival
Conjunctival oedema,Edema conjuntival
Conjunctival ulcer,Úlcera conjuntival
Conjunctival xerosis,Xerose conjuntival
Conjunctivitis,Conjuntivite
Conjunctivitis allergic,Alérgica da conjuntivite
Conjunctivitis bacterial,Conjuntivite bacteriana
Conjunctivitis exacerbated,Conjuntivite exacerbada
Conjunctivitis infective,Conjuntivite infecciosa
Conjunctivitis papillary,Conjuntivite papilar
Connective tissue disorder,Transtorno do tecido conjuntivo
Connective tissue inflammation,Inflamação do tecido conjuntivo
Consciousness abnormal,Consciência anormal
Consciousness clouding,Consciência nublado
Constipation,Constipação
Constipation aggravated,Constipação agravada
Constipation chronic,Constipação crônica
Contact lens intolerance,Intolerância à lente de contato
Contraceptive device complication,Complicação do dispositivo contraceptivo
Contracted bladder,Bexiga contratada
Contraction skeletal muscle,Músculo esquelético de contração
Contrast media reaction,Contraste a reação da mídia
Contusion,Contusão
Conversion disorder,Transtorno da conversão
Convulsion,Convulsão
Convulsion neonatal,Convulsão neonatal
Convulsions aggravated,Convulsões agravadas
Convulsions generalised,Convulsões generalizadas
Convulsive disorder,Transtorno convulsivo
Convulsive seizure,Convulsão convulsiva
Coombs direct test positive,Coombs Teste direto positivo
Coombs positive haemolytic anaemia,Anemia hemolítica positiva de Coombs
Coombs test positive,Coombs Teste positivo
Coordination abnormal,Coordenação anormal
Coordination disturbance,Perturbação da coordenação
Copper deficiency,Deficiência de cobre
Cor pulmonale,Cor Pulmonale
Corneal abrasion,Abrasão da córnea
Corneal calcification,Calcificação da córnea
Corneal decompensation,Descompensação da córnea
Corneal defect,Defeito da córnea
Corneal degeneration,Degeneração da córnea
Corneal deposits,Depósitos de córnea
Corneal disorder,Transtorno da córnea
Corneal dystrophy,Distrofia da córnea
Corneal epithelium defect,Defeito do epitélio da córnea
Corneal epithelium disorder,Transtorno do epitélio da córnea
Corneal erosion,Erosão da córnea
Corneal infiltrates,Infiltrados da córnea
Corneal irritation,Irritação da córnea
Corneal lesion,Lesão da córnea
Corneal oedema,Edema da córnea
Corneal opacity,Opacidade da córnea
Corneal perforation,Perfuração da córnea
Corneal pigmentation,Pigmentação da córnea
Corneal scar,Cicatriz da córnea
Corneal sensitivity decreased,A sensibilidade da córnea diminuiu
Corneal staining,Coloração da córnea
Corneal stromal edema,Edema estromal da córnea
Corneal thinning,Desbaste da córnea
Coronary artery disease,Doença arterial coronária
Coronary artery disease aggravated,Doença arterial coronariana agravada
Coronary artery insufficiency,Insuficiência da artéria coronária
Coronary artery occlusion,Oclusão da artéria coronária
Coronary artery stenosis,Estenose da artéria coronária
Coronary artery thrombosis,Trombose da artéria coronariana
Coronary heart disease,Doença cardíaca coronariana
Coronary stent thrombosis,Trombose do stent coronariano
Corpus callosum agenesis,Agenesia do Corpus Callosum
Corpus luteum cyst,Cisto de corpus luteum
Coryza,Coryza
Costochondritis,Costocondrite
Costovertebral angle tenderness,Sensibilidade do ângulo Costovertebral
Cotton wool spots,Manchas de algodão
Cough,Tosse
Cough decreased,A tosse diminuiu
Cough increased,A tosse aumentou
Cough suppression,Supressão da tosse
Coxalgia,Coxalgia
Cramp muscle,Músculos de cães
Cramp of limb,Cãibra do membro
Cramps of lower extremities,Cólicas de extremidades inferiores
Cranial nerve disorder,Transtorno do nervo craniano
Cranial nerve paralysis,Paralisia do nervo craniano
Craniosynostosis,Craniossinostose
Creatine increased,A creatina aumentou
Creatine phosphokinase increased,A creatina fosfocinase aumentou
Creatine phosphokinase serum increased,Soro de creatina fosfocinase aumentou
Creatinine abnormal NOS,Creatinina nº anormal nos
Creatinine increased,A creatinina aumentou
Creatinine low,Creatinina baixa
Creatinine normal,Creatinina Normal
Creatinine renal clearance decreased,A depuração renal de creatinina diminuiu
Crohn's disease,Doença de Crohn
Crohns disease aggravated,Doença de Crohns agravou
Cross reactive drug hypersensitivity,Hipersensibilidade ao medicamento reativo cruzado
Cross resistance,Resistência cruzada
Croup infectious,Crupo infeccioso
Crying,Choro
Crying abnormal,Chorando anormal
Cryptococcal cutaneous infection,Infecção cutânea criptocócica
Cryptococcosis,Criptococose
Cryptorchism,Criptorquismo
Cryptosporidiosis infection,Infecção por criptosporidiose
Crystal urine present,Urina cristalina presente
Crystalluria,CRISTALURIA
Crystalluria calcium,Crystaluria cálcio
Culture negative,Cultura negativa
Cushing's syndrome,Síndrome de Cushing
Cushingoid,Cushingoide
Cutaneous T-cell lymphoma,Linfoma de células T cutâneas
Cutaneous hypersensitivity,Hipersensibilidade cutânea
Cutaneous lupus erythematosus,Lúpus eritematoso cutâneo
Cutaneous sarcoidosis,Sarcoidose cutânea
Cutaneous vasculitis,Vasculite cutânea
Cutis anserina,Cutis Anserina
Cutis laxa,Cutis Laxa
Cyanopsia,Canopsia
Cyanosis,Cianose
Cyanosis peripheral,Cianose periférica
Cyanotic heart disease,Doença cardíaca cianótica
Cyclophoria,Cicloforia
Cycloplegia,Cicloplegia
Cyclosporine toxicity,Toxicidade da ciclosporina
Cyclothymic disorder,Transtorno ciclotímico
Cyst,Cisto
Cyst epidermal,Cisto epidérmico
Cystitis,Cistite
Cystitis haemorrhagic,Cistite hemorrágica
Cystitis interstitial,Cistite intersticial
Cystitis noninfective,Cistite não infecciosa
Cystitis viral,Cistite viral
Cystocele,Cistocele
Cystoid macular oedema,Edema macular cistoide
Cytarabine syndrome,Síndrome da citarabina
Cytogenetic abnormality,Anormalidade citogenética
Cytokine release syndrome,Síndrome de liberação de citocinas
Cytolytic hepatitis,Hepatite citolítica
Cytomegalovirus chorioretinitis,Citomegalovírus coriorretinite
Cytomegalovirus colitis,Colite de citomegalovírus
Cytomegalovirus gastritis,Gastrite por citomegalovírus
Cytomegalovirus hepatitis,Hepatite por citomegalovírus
Cytomegalovirus infection,Infecção por citomegalovírus
Cytomegalovirus retinitis,Retinite por citomegalovírus
Cytomegalovirus syndrome,Síndrome do citomegalovírus
Cytomegalovirus viraemia,Citomegalovírus viremia
Cytopenia,Citopenia
Cytotoxic oedema,Edema citotóxico
Dacryoadenitis acquired,Dacryoadenite adquirida
Dacryocanaliculitis,Dacryocanaliculite
Dacryocystitis,Dacryocistite
Dacryostenosis acquired,Dacritenose adquirida
Dactylitis,Dactilite
Dandruff,Caspa
Dark circles under eyes,Círculos escuros sob os olhos
Deafness,Surdez
Deafness bilateral,Surdez bilateral
Deafness neurosensory,Neurossensorial de surdez
Deafness permanent,Surdez permanente
Deafness transitory,Transitório de surdez
Deafness unilateral,Surdez Unilateral
Death,Morte
Death neonatal,Neonatal da morte
Decompensated cirrhosis,Cirrose descompensada
Decompensation cardiac,Descompensação cardíaca
Decreased appetite,Diminuição do apetite
Decreased immune responsiveness,Redução da capacidade de resposta imune
Decreased interest,Diminuição do interesse
Decreased night vision,Diminuição da visão noturna
Decreased tolerance,Diminuição da tolerância
Decreased vibratory sense,Diminuição do sentido vibratório
Decubitus ulcer,Úlcera de decúbito
Deep vein thrombosis,Trombose venosa profunda
Defaecation urgency,Urgência de defesa
Defect conduction intraventricular,Condução de defeitos intraventricular
Defective colour vision,Visão de cor defeituosa
Deficiency anaemia,Anemia de deficiência
Deficiency of bile secretion,Deficiência de secreção biliar
Degeneration of uterine fibroid,Degeneração do fibróide uterino
Dehydration,Desidratação
Delayed delivery,Entrega atrasada
Delayed gastric emptying,Esvaziamento gástrico atrasado
Delayed orgasm,Orgasmo atrasado
Delayed puberty,Puberdade atrasada
Delayed recovery from anaesthesia,Recuperação atrasada da anestesia
Delirium,Delírio
Delirium toxic,Delirium tóxico
Delirium tremens,Delirium tremens
Delusion,Ilusão
Delusional disorders,Distúrbios ilusórios
Delusional perception,Percepção ilusória
Dementia,Demência
Dementia Alzheimer's type,Demência do tipo Alzheimer
Dementia with Lewy bodies,Demência com corpos de Lewy
Demyelinating polyneuropathy,Polineuropatia desmielinizante
Demyelination,Desmielinização
Demyelination disorder NOS,Transtorno da desmielinização Nos
Dental caries,Cárie dentária
Dental discomfort,Desconforto dentário
Dentoalveolar abscess,Abscesso dentoalveolar
Dentofacial anomaly,Anomalia Dentofacial
Dependence,Dependência
Dependence on opiates,Dependência de opiáceos
Dependence physiological,Dependência fisiológica
Dependence psychological,Dependência psicológica
Depersonalisation,Despersonalização
Depersonalization syndrome,Síndrome da despersonalização
Deposit calcium,Depósito de cálcio
Deposit eye,Depósito olho
Depressed level of consciousness,Nível deprimido de consciência
Depressed mood,Humor deprimido
Depression,Depressão
Depression aggravated,Depressão agravada
Depression suicidal,Depressão suicida
Depressive disorder,Transtorno depressivo
Depressive episode,Episódio depressivo
Depressive symptom,Sintoma depressivo
Derealisation,Desrerealização
Dermal cyst,Cisto dérmico
Dermatillomania,Dermatilomania
Dermatitis,Dermatite
Dermatitis acneiform,Dermatite acneiforme
Dermatitis atopic,Dermatite atópica
Dermatitis bullous,Dermatite Boluss
Dermatitis contact,Dermatite contato
Dermatitis diaper,Fralda de dermatite
Dermatitis exfoliative,Dermatite esfoliativa
Dermatitis eyelid,Dermatite pálpebra
Dermatitis flare-up,Dermatite Flare-Up
Dermatitis hemorrhagic,Dermatite hemorrágica
Dermatitis infected,Dermatite infectada
Dermatitis irritant contact,Dermatite contato irritante
Dermatitis perioral,Dermatite perioral
Dermatitis psoriasiform,Dermatite psoriasiforme
Dermatitis radiation NOS,Radiação da dermatite nos
Dermatochalasis,Dermatochalasis
Dermatomyositis,Dermatomiosite
Dermatophytosis,Dermatofitose
Dermoid cyst,Cisto dermóide
Dermoid cyst of ovary,Cisto dermóide do ovário
Descemetitis,Descemetite
Destructive thyroiditis,Tireoidite destrutiva
Detachment of retinal pigment epithelium,Desapego do epitélio de pigmento da retina
Detachment psychological,Psicológico de destacamento
Detrusor instability,Instabilidade do detrusor
Developmental coordination disorder,Dispraxia
Developmental delay,Atraso no desenvolvimento
Developmental glaucoma,Glaucoma de desenvolvimento
Developmental hip dysplasia,Displasia do quadril de desenvolvimento
Device breakage,Quebra do dispositivo
Device capturing issue,Problema de captura de dispositivos
Device dislocation,Localização do dispositivo
Device expulsion,Expulsão do dispositivo
Device interaction,Interação do dispositivo
Device malfunction,Mau funcionamento do dispositivo
Device occlusion,Oclusão do dispositivo
Device related infection,Infecção relacionada ao dispositivo
Device related sepsis,Sepse relacionada ao dispositivo
Diabetes insipidus,Diabetes insipidus
Diabetes mellitus,Diabetes mellitus
Diabetes mellitus exacerbated,Diabetes mellitus exacerbado
Diabetes mellitus inadequate control,Diabetes mellitus Controle inadequado
Diabetic,Diabético
Diabetic autonomic neuropathy,Neuropatia autonômica diabética
Diabetic coma,Coma diabético
Diabetic complication,Complicação diabética
Diabetic foot infection,Infecção por pé diabético
Diabetic hyperglycaemic coma,Coma hiperglicêmico diabético
Diabetic hyperosmolar coma,Coma hiperosmolar diabético
Diabetic ketoacidosis,Cetoacidose diabética
Diabetic nephropathy,Nefropatia diabética
Diabetic neuropathy,Neuropatia diabética
Diabetic peripheral neuropathy,Neuropatia periférica diabética
Diabetic retinopathy,Retinopatia diabética
Diabetic vascular disorder,Transtorno vascular diabético
Dialysis dementia,Diálise demência
Diaphragmatic hernia,Hérnia diafragmática
Diarrhoea,Diarréia
Diarrhoea haemorrhagic,Diarréia hemorrágica
"Diarrhoea, Clostridium difficile","Diarréia, Clostridium difficile"
Diastolic dysfunction,Disfunção diastólica
Diastolic hypertension,Hipertensão diastólica
Diet refusal,Recusa da dieta
Difficulty focusing eyes,Dificuldade em focar nos olhos
Difficulty sleeping,Dificuldade em dormir
Difficulty thinking,Dificuldade em pensar
Diffuse alopecia,Alopecia difusa
Diffuse large B-cell lymphoma,Linfoma difuso de células B grandes
Digestion impaired,Digestão prejudicada
Digitalis intoxication (NOS),Intoxicação digital (NOS)
Digitalis toxicity,Toxicidade digital
Digoxin effect,Efeito digoxina
Digoxin level increased,O nível de digoxina aumentou
Digoxin toxicity,Toxicidade da digoxina
Dilatation atrial,Dilatação atrial
Dilatation ventricular,Dilatação ventricular
Diplegia,Diplomática
Diplopia,Diplópia
Direct bilirubin increased,A bilirrubina direta aumentou
Disability,Inabilidade
Discoid lupus erythematosus,Discoid Lupus eritematoso
Discomfort,Desconforto
Discomfort rectal,Desconforto retal
Disease progression,Progressão da doença
Disease recurrence,Recorrência da doença
Disequilibrium syndrome,Síndrome do desequilíbrio
Disinhibition,Desinibição
Disorder birth,Nascimento da desordem
Disorder calcium (NOS),Transtorno de cálcio (NOS)
Disorder periosteal,Transtorno periosteal
Disorder sight,Visão de desordem
"Disorders of fluid, electrolyte and acid-base balance","Distúrbios de equilíbrio fluido, eletrólito e ácido-base"
Disorientation,Desorientação
Disseminated intravascular coagulation,Coagulação intravascular disseminada
Disseminated tuberculosis,Tuberculose disseminada
Dissociation,Dissociação
Dissociative disorder,Transtorno dissociativo
Distention,Distensão
Distractibility,Distração
Distress,Sofrimento
Distress gastrointestinal,Sofrimento gastrointestinal
Disturbance in attention,Perturbação na atenção
Disturbance in sexual arousal,Perturbação na excitação sexual
Disulfiram like reaction,DISULFIRAM LIGO REAÇÃO
Diuresis,Diurese
Diuretic effect,Efeito diurético
Diverticular perforation,Perfuração diverticular
Diverticulitis,Diverticulite
Diverticulitis aggravated,Diverticulite agravada
Diverticulum,Diverticulum
Diverticulum intestinal,Intestinal de diverticulum
Dizziness,Tontura
Dizziness aggravated,Tontura agravada
Dizziness exertional,Tontura esforçada
Dizziness postural,Tontura postural
Dizzy spells,Feitiços tonto
Dreaming excessive,Sonhando excessivo
Dreamy state,Estado sonhador
Drooling,Babando
Dropped beats,Cairam batidas
Drowsiness,Sonolência
Drug - food interaction,Droga - interação alimentar
Drug abuse,Abuso de drogas
Drug administration error,Erro de administração de medicamentos
Drug craving,Desejo de drogas
Drug dependence,Dependência de drogas
Drug effect decreased,O efeito da droga diminuiu
Drug effect increased,O efeito da droga aumentou
Drug effect prolonged,Efeito de drogas prolongado
Drug eruption,Erupção de drogas
Drug fever,Febre da droga
Drug hypersensitivity,Hipersensibilidade à droga
Drug ineffective,Droga ineficaz
Drug interaction,Interação medicamentosa
Drug intolerance,Intolerância à droga
Drug level changed,O nível de drogas mudou
Drug level decreased,O nível de drogas diminuiu
Drug level increased,O nível de drogas aumentou
Drug maladministration,Maladministração de drogas
Drug reaction with eosinophilia and systemic symptoms,Reação de drogas com eosinofilia e sintomas sistêmicos
Drug screen positive,Tela de drogas positiva
Drug seeking behavior,Comportamento de busca de drogas
Drug tolerance,Tolerância a drogas
Drug tolerance decreased,A tolerância a drogas diminuiu
Drug toxicity,Toxicidade de drogas
Drug withdrawal convulsions,Convulsões de retirada de drogas
Drug withdrawal syndrome,Síndrome de retirada de drogas
Drug withdrawal syndrome neonatal,Síndrome de retirada de drogas neonatal
Drug-induced cough,Tosse induzida por drogas
Drug-induced hepatitis,Hepatite induzida por drogas
Drug-induced hypersensitivity syndrome,Síndrome de hipersensibilidade induzida por drogas
Drug-induced liver injury,Lesão hepática induzida por drogas
Drug-induced lupus erythematosus,Lúpus eritematoso induzido por drogas
Drug-induced parkinsonism,Parkinsonismo induzido por drogas
Dry cough,Tosse seca
Dry eye,Olho seco
Dry eye syndrome,Síndrome do olho seco
Dry hair,Cabelos secos
Dry mouth,Boca seca
Dry scalp,Couro cabeludo seco
Dry skin,Pele seca
Dry throat,Garganta seca
Duodenal perforation,Perfuração duodenal
Duodenal ulcer,Úlcera duodenal
Duodenal ulcer aggravated,Úlcera duodenal agravada
Duodenal ulcer haemorrhage,Hemorragia de úlcera duodenal
Duodenal ulcer perforation,Perfuração da úlcera duodenal
Duodenitis,Duodenite
Duodenitis haemorrhagic,Duodenite hemorrágica
Dupuytren's contracture,Contratura de Dupuytren
Dwarfism,Anão
Dysacusis,Disacusis
Dysaesthesia,Disaestesia
Dysaesthesia pharynx,Disaestesia faringe
Dysarthria,Disartria
Dysautonomia,Disautonomia
Dyschezia,Dischezia
Dyschromatopsia,Discromatopsia
Dysdiadochokinesis,Disdiadococinesia
Dysentery,Disenteria
Dysequilibrium,DyStequesilibrium
Dysfunction adrenal,Disfunção adrenal
Dysfunction thyroid,Disfunção tireóide
Dysgeusia,Dysgeusia
Dysgraphia,Disgraphia
Dyshidrotic eczema,Eczema disidrótico
Dyskinesia,Diskinesia
Dyslexia,Dislexia
Dyslipidaemia,Dislipidemia
Dysmenorrhoea,Dismenorreia
Dysmetria,Dismetria
Dysmorphism,Dismorfismo
Dysosmia,Disosmia
Dyspareunia,Dyspareunia
Dyspepsia,Dispepsia
Dyspepsia aggravated,Dispepsia agravada
